DEI010000,
DEI010100,DEI010110
DEI010100,DEI010120
DEI010100,DEI010199
DEI010200,DEI010210
DEI010200,DEI010220
DEI010200,DEI010299
DEI010300,DEI010310
DEI010300,DEI010320
DEI010300,DEI010330
DEI010300,DEI010340
DEI010300,DEI010399
DEI019900,DEI019910
DEI019900,DEI019920
DEI019900,DEI019930
DEI019900,DEI019999
DEI020000,
DEI020100,DEI020110
DEI020100,DEI020120
DEI020100,DEI020130
DEI020100,DEI020140
DEI020200,
DEI020300,DEI020310
DEI020300,DEI020320
DEI020300,DEI020330
DEI020400,
DEI029900,
DEI030000,
DEI030100,
DEI030200,
DEI030300,
DEI030400,
DEI030500,
DEI030600,
DEI030700,
DEI030800,
DEI030900,
DEI031000,
DEI039900,
DEI040000,
DEI040100,DEI040110
DEI040100,DEI040120
DEI040200,
DEI040300,
DEI040400,DEI040410
DEI040400,DEI040420
DEI040500,
DEI049900,
DEI050000,
DEI050100,
DEI050200,
DEI050300,
DEI059900,
DEI060100,
DEI060200,
DEI060300,
DEI060400,
DEI060500,
DEI060600,
DEI070000,
DEI080000,
DEI700000,
DEI800010,
DEI800020,
DEI800030,
